APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2012-
0000870000","Jun 7, 2013",Con Archivo (Preliminar),PECULADO (MALVERSACION.DE.BIENE.PUBLICO
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,03º Fiscalia Superior Penal De Apelaciones De Lambayeque,"02406074502-2011-
0024140001","Jun 4, 2013",Audiencia De Apelacion,DELITO CONTRA LA ADMINISTRACION PUBLICA
"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,Fiscalia Provincial Mixta Coorporativa La Victoria,"02406094500-2013-
0009710000","May 31, 2013",Con Archivo (Preliminar),ABUSO DE AUTORIDAD
"URRESTI ELERA, DANIEL BELIZARIO",Podemos,Lima,01º Fiscalia Provincial En Lo Penal De Lima,"00506010101-2012-
0001020000","May 30, 2013",Archivo Definitivo,ABUSO DE AUTORIDAD
"PANTOJA CALVO, RUBEN",UPP,Cusco,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Abancay,"01406015500-2013-
0000900001","May 17, 2013",Derivado (Preliminar),VIOLACION A LA INTIMIDAD (ORG.INDEB.ARCHIV.LIBER.CREEN.RELIG)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,01º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074501-2013-
0000600000","May 6, 2013",Con Archivo (Preliminar),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2010-
0031740000","May 6, 2013",Con Sentencia,ABUSO DE AUTORIDAD
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,1º Fiscalia Superior Penal De Lima-Norte,"00606020613-2006-
0005880008","Apr 30, 2013",Con Dictamen,HOMICIDIO
"VEGA ANTONIO, JOSÉ ALEJANDRO",UPP,Lima,03° Fiscalia Provincial Prevencion Del Delito,"00507010953-2013-
0003490000","Apr 30, 2013",Derivado,CONTRA EL PATRIMONIO
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2013-
0008110000","Apr 4, 2013",Con Archivo (Califica),DELITO CONTRA LA ADMINISTRACION PUBLICA
"BAZÁN VILLANUEVA, LENIN FERNANDO",Frente Amplio,La Libertad,Fiscalia Provincial Mixta Corporativa De Santiago De Chuco,"02306104500-2013-
0001410000","Apr 4, 2013",Con Archivo (Preliminar),EXTORSION
"BURGA CHUQUIPIONDO, RICARDO MIGUEL",Acción Popular,Lima,03º Fiscalia Provincial En Lo Penal De Lima,"00506010103-2013-
0002420000","Mar 26, 2013",Archivo Definitivo,APROPIACION ILICITA(BIEN.MUEB.SUM.DINER)
"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,Fiscalia Provincial Mixta Coorporativa La Victoria,"02406094500-2012-
0021920000","Feb 14, 2013",Con Archivo (Preliminar),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,01º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074501-2013-
0004670000","Feb 11, 2013",Con Archivo (Preliminar),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"GUIBOVICH ARTEAGA, OTTO NAPOLEÓN",Acción Popular,Ancash,33º Fiscalia Provincial En Lo Penal De Lima,"00506010113-2006-
0004560000","Jan 4, 2013",Con Rubrica,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA )
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,02º Fiscalia Provincial Penal Corporativa De Paita,"02606054502-2012-
0002190000","Dec 27, 2012",Con Archivo (Preliminar),USURPACION (DOS O MAS PERSONAS)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2011-
0000980000","Dec 11, 2012",Con Acusacion,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2012-
0002240001","Dec 11, 2012",Con Archivo (Preliminar),DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"PALOMINO SAAVEDRA, ANGÉLICA MARÍA",Morado,Piura,01º Fiscalia Provincial Penal Corporativa De Piura,"02606064501-2011-
0008220000","Dec 4, 2012",Con Sobreseimiento,ABUSO DE AUTORIDAD
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2011-
0037500000","Nov 22, 2012",Con Sobreseimiento,PECULADO
"ESPINOZA VELARDE, YEREMI ARON",Podemos,Lima,08º Fiscalia Provincial En Lo Penal De Lima,"00506010151-2010-
0005640002","Nov 19, 2012",Con Dictamen,CONTRA LA FUNCIÓN JURISDICCIONAL (FRAUDE PROCESAL)
"TITO ORTEGA, ERWIN",Fuerza Popular,Junín,03º Fiscalia Provincial Penal De Huancayo,"02206010103-2000-
0007590000","Nov 19, 2012",Archivo Definitivo,LESIONES (CULPOSAS)
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,02º Fiscalia Provincial Penal Corporativa De Paita,"02606054502-2012-
0007690000","Nov 19, 2012",En Calificacion (Califica),CONCUSION (COLUSION ILEGAL)
"PALOMINO SAAVEDRA, ANGÉLICA MARÍA",Morado,Piura,03º Fiscalia Provincial Penal Corporativa De Piura,"02606064503-2011-
0016960001","Nov 14, 2012",Con Archivo (Preliminar),CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA )
"PALOMINO SAAVEDRA, ANGÉLICA MARÍA",Morado,Piura,03º Fiscalia Superior Penal De Ncpp De Piura,"02606064503-2011-
0016960002","Oct 25, 2012",Audiencia De Apelacion,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA )
"CHEHADE MOYA, OMAR KARIM",APP,Lima,42º Fiscalia Provincial En Lo Penal De Lima,"00506010142-2006-
0005440000","Oct 23, 2012",Archivo Definitivo,RECEPTACION
"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,Fiscalia Provincial Mixta Coorporativa La Victoria,"02406094500-2012-
0021920001","Oct 22, 2012",Con Archivo (Preliminar),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2012-
0013750000","Oct 15, 2012",Con Archivo (Preliminar),USURPACION
"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,Fiscalia Provincial Mixta Coorporativa La Victoria,"02406094500-2012-
0018930000","Oct 14, 2012",Con Archivo (Preliminar),USURPACION
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,1ª Fiscalia Provincial De Prevencion Del Delito Lima- Norte,"00606020606-2009-
0002080000","Oct 12, 2012",Con Dictamen,DELITOS AMBIENTALES
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,Fiscalia Provincial Penal Especializada En Materia Ambiental- Chachapoyas(Ncpp),"01206015200-2011-
0002510000","Oct 11, 2012",Con Sobreseimiento,DELITO CONTRA LOS RECURSOS NATURALES Y MEDIO AMBIENTE. (DEPREDACION ECOLOGICA)
"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,Fiscalia Provincial Mixta Coorporativa La Victoria,"02406094500-2012-
0013960000","Oct 9, 2012",Con Archivo (Preliminar),CORRUPCIÓN DE FUNCIONARIO (CORRUPCION)
"URRESTI ELERA, DANIEL BELIZARIO",Podemos,Lima,05° Fiscalia Provincial Prevencion Del Delito,"00507010955-2012-
0005720000","Sep 27, 2012",Archivo Definitivo,DELITO CONTRA LA SEGURIDAD PUBLICA
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,03º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074503-2012-
0016600000","Sep 26, 2012",Con Archivo (Preliminar),OMISIÓN DE ASISTENCIA FAMILIAR (INCUMPLIM.OBLIG.ALIMENTARIA)
"GONZALES TUANAMA, CÉSAR",Somos Perú,Ucayali,03º Fiscalia Prov. Penal De C.P,"03006010103-2012-
0000820000","Sep 11, 2012",Archivo Definitivo,FALSA DENUNCIA
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2011-
0029460000","Sep 2, 2012",Con Archivo (Preliminar),DELITO CONTRA LA ADMINISTRACION PUBLICA
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2012-
0001930000","Aug 29, 2012",Con Archivo (Preliminar),ABUSO DE AUTORIDAD
"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,Fiscalia Provincial Mixta Coorporativa La Victoria,"02406094500-2011-
0024280000","Aug 27, 2012",Con Archivo (Preliminar),ABUSO DE AUTORIDAD
"GONZALES TUANAMA, CÉSAR",Somos Perú,Ucayali,03º Fiscalia Prov. Penal De C.P,"03006010103-2012-
0000810000","Aug 23, 2012",Archivo Definitivo,FALSA DENUNCIA
